#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Staphylococcus aureus		SAMN16946755	PDT001187749.1	JAEAKQ010000003.1	160	1509	-	GCA_021010185.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	100.0	NUCLEOTIDE	100.0
Staphylococcus aureus	HDL6572367.1	SAMN33393901	PDT001640549.1	DANMLK010000001.1	62680	64032	+	GCA_028832425.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus		SAMN16946755	PDT001187749.1	JAEAKQ010000004.1	23486	23902	+	GCA_021010185.1	fosB	FosB/FosD family fosfomycin resistance bacillithiol transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	100.0	NUCLEOTIDE	100.0
Staphylococcus aureus	HDL6586790.1	SAMN33393904	PDT001640546.1	DANMLO010000004.1	26254	27606	+	GCA_028832465.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDB5860889.1	SAMN12789155	PDT001530640.1	DALMRV010000001.1	153404	153823	+	GCA_027190905.1	fosB	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDL6561229.1	SAMN33393896	PDT001640537.1	DANMLF010000002.1	53181	53600	-	GCA_028831535.1	fosB	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDL6539876.1	SAMN33393899	PDT001640551.1	DANMKZ010000001.1	267890	269242	-	GCA_028831345.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDL6570134.1	SAMN33393898	PDT001640552.1	DANMLL010000009.1	19092	19511	+	GCA_028832365.1	fosB	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDA7071008.1	SAMEA104317804	PDT001533672.1	DALGQG010000005.1	11240	12592	-	GCA_027106235.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDL6570480.1	SAMN33393898	PDT001640552.1	DANMLL010000015.1	26488	27840	+	GCA_028832365.1	tet(38)	tetracycline efflux MFS transporter Tet(38)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Staphylococcus aureus	HDA7071147.1	SAMEA104317804	PDT001533672.1	DALGQG010000007.1	24016	24435	-	GCA_027106235.1	fosB	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
