#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Enterococcus faecium	HBC2783091.1	SAMEA2156146	PDT000701543.1	DADXWL010000002.1	79551	80099	+	GCA_018086425.1	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	AMR	core	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAQ4543115.1	SAMEA3304260	PDT000702375.1	DACGHB010000003.1	19821	20318	-	GCA_015422305.1	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	WP_001574277.1	SAMN37287145	PDT002100136.1	NZ_CP144272.1	7309	8685	-	GCA_037019775.1	tet(L)	tetracycline efflux MFS transporter Tet(L)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAQ9466659.1	SAMEA5368487	PDT000700007.1	DACIRG010000007.1	31550	32047	-	GCA_015460685.1	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAQ8784092.1	SAMEA5368439	PDT000700258.1	DACIIG010000002.1	118680	119177	+	GCA_015456265.1	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAQ4897849.1	SAMEA3304435	PDT000702212.1	DACGLS010000004.1	2673	3170	-	GCA_015424425.1	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAQ4543116.1	SAMEA3304260	PDT000702375.1	DACGHB010000003.1	20680	21720	+	GCA_015422305.1	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	54.15	COMBINED	100.0
Enterococcus faecium	HBC2407557.1	SAMN12640432	PDT000743052.1	DADXSS010000003.1	46525	47184	+	GCA_018084525.1	vanR-B	vancomycin resistance response regulator transcription factor VanR-B	AMR	core	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAP6397570.1	SAMN13750726	PDT000860344.1	DACCCU010000006.1	31437	31985	+	GCA_015345495.1	aac(6')-I	aminoglycoside 6'-N-acetyltransferase	AMR	core	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	100.0	COMBINED	100.0
Enterococcus faecium	HAZ1135439.1	SAMN15088095	PDT000976360.1	DADNEC010000002.1	73556	75475	-	GCA_017262775.1	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
