#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Enterobacter hormaechei	EMM2634353.1	SAMN37946741	PDT001953051.2	ABOIRF020000002.1	18524	19669	-	GCA_033028565.2	blaACT-25	cephalosporin-hydrolyzing class C beta-lactamase ACT-25	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	HDV8302028.1	SAMN34565659	PDT001749901.1	DAPJHA010000002.1	488958	490103	+	GCA_031495185.1	blaACT-16	cephalosporin-hydrolyzing class C beta-lactamase ACT-16	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	HBL8935257.1	SAMEA8581421	PDT001189014.1	DAFHFS010000009.1	19309	20454	-	GCA_021096105.1	blaACT-108	cephalosporin-hydrolyzing class C beta-lactamase ACT-108	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	ELU1488592.1	SAMN38089886	PDT001966644.1	ABOOPR010000010.1	7	843	-	GCA_033328985.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Enterobacter hormaechei	WP_032608349.1	SAMD00222503	PDT000813581.2	NZ_BMAB01000017.1	72126	73271	+	GCA_014190135.1	blaACT-45	cephalosporin-hydrolyzing class C beta-lactamase ACT-45	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	ELU1488593.1	SAMN38089886	PDT001966644.1	ABOOPR010000010.1	843	1646	-	GCA_033328985.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Enterobacter hormaechei	HEC1400778.1	SAMN32778069	PDT001940674.1	DAQGNZ010000003.1	19259	20404	-	GCA_032764465.1	blaACT-46	cephalosporin-hydrolyzing class C beta-lactamase ACT-46	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	ELU1488594.1	SAMN38089886	PDT001966644.1	ABOOPR010000010.1	1707	2522	-	GCA_033328985.1	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Enterobacter hormaechei	HCU0438854.1	SAMEA111505890	PDT001493403.1	DAKCBV010000019.1	19461	20606	-	GCA_026351765.1	blaACT-16	cephalosporin-hydrolyzing class C beta-lactamase ACT-16	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Enterobacter hormaechei	HEC1401064.1	SAMN32778069	PDT001940674.1	DAQGNZ010000003.1	346947	347603	-	GCA_032764465.1	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	AMR	core	AMR	QUINOLONE	QUINOLONE	ALLELEP	100.0	COMBINED	100.0
